dataset,p,k,feature_ratio,feature_pct,baseline_auc_mean,etree_auc_mean,stg_auc_mean,lspin_auc_mean,etree_auc_delta_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_accuracy_mean,etree_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,etree_accuracy_delta_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
leukemia,7070,707,0.1,10.0,0.9800000000000001,0.992,0.9755555555555556,0.96,0.01200000000000001,-0.004444444444444429,-0.019999999999999997,0.9457142857142857,0.9723809523809525,0.917142857142857,0.8895238095238096,0.02666666666666666,-0.02857142857142858,-0.05619047619047619
leukemia,7070,354,0.05,5.0,0.9800000000000001,0.9960000000000001,0.9617777777777778,0.9475555555555555,0.015999999999999993,-0.01822222222222223,-0.032444444444444456,0.9457142857142857,0.9723809523809525,0.9038095238095238,0.8885714285714286,0.02666666666666666,-0.04190476190476191,-0.05714285714285714
RELATHE,4322,4322,1.0,100.0,0.9614163267148148,0.9614163267148148,0.9614163267148148,0.9614163267148148,0.0,0.0,0.0,0.9096012759170653,0.9096012759170653,0.9096012759170653,0.9096012759170653,0.0,0.0,0.0
RELATHE,4322,3890,0.9,90.0,0.9614163267148148,0.9606486101308367,0.961211388892588,0.9602797363542068,-0.000767716583978273,-0.00020493782222672508,-0.001136590360607892,0.9096012759170653,0.9145037418721629,0.9138093485461907,0.9138167096061833,0.004902465955097535,0.004208072629125259,0.004215433689117876
RELATHE,4322,3458,0.8,80.0,0.9614163267148148,0.9605617232710545,0.9606670360884106,0.9601638195544941,-0.0008546034437603601,-0.0007492906264040978,-0.0012525071603206373,0.9096012759170653,0.9131051404735615,0.910310391363023,0.9088995215311003,0.003503864556496139,0.0007091154459575088,-0.0007017543859649588
RELATHE,4322,3025,0.7,70.0,0.9614163267148148,0.959589758632952,0.9583312184061794,0.9592703180726149,-0.0018265680818626562,-0.003085108308635354,-0.002146008642200026,0.9096012759170653,0.911002331002331,0.9068040731198627,0.8984026499815974,0.0014010550852656012,-0.0027972027972028137,-0.011198625935468054
RELATHE,4322,2593,0.6,60.0,0.9614163267148148,0.959074216285827,0.958191249735511,0.9572942676004306,-0.002342110428987887,-0.0032250769793040535,-0.0041220591143841245,0.9096012759170653,0.9131002331002331,0.9053956569746043,0.901901607164765,0.003498957183167706,-0.004205618942461053,-0.0076996687523003485
RELATHE,4322,2161,0.5,50.0,0.9614163267148148,0.9587917728939137,0.9541664289346498,0.9542721215313691,-0.0026245538209009878,-0.00724989778016496,-0.007144205183445762,0.9096012759170653,0.9096012759170653,0.9032977548767022,0.9039995092626671,0.0,-0.006303521040363158,-0.005601766654398243
RELATHE,4322,1729,0.4,40.0,0.9614163267148148,0.9580235810925117,0.9560357027126605,0.9523293994109968,-0.0033927456223030728,-0.005380624002154377,-0.009086927303818038,0.9096012759170653,0.9109974236290027,0.904009324009324,0.8962875720770457,0.0013961477119371901,-0.005591951907741377,-0.013313703840019665
RELATHE,4322,1297,0.3,30.0,0.9614163267148148,0.9556430599267174,0.9531766533842534,0.9440073516899936,-0.00577326678809742,-0.008239673330561437,-0.01740897502482126,0.9096012759170653,0.9074935590725065,0.892778800147221,0.8885780885780885,-0.0021077168445589487,-0.016822475769844237,-0.021023187338976835
RELATHE,4322,864,0.2,20.0,0.9614163267148148,0.9550131270490206,0.9521093463701231,0.9300176237353224,-0.006403199665794168,-0.009306980344691707,-0.03139870297949243,0.9096012759170653,0.9088995215311005,0.8955956324377377,0.86264998159735,-0.0007017543859649588,-0.014005643479327711,-0.04695129431971541
RELATHE,4322,432,0.1,10.0,0.9614163267148148,0.9528450204267044,0.9315290713704067,0.8802657461702704,-0.008571306288110514,-0.029887255344408104,-0.08115058054454445,0.9096012759170653,0.9053956569746043,0.8773622868359711,0.8051870936081462,-0.004205618942461076,-0.03223898908109439,-0.10441418230891919
RELATHE,4322,216,0.05,5.0,0.9614163267148148,0.9421659500180766,0.9134952648418514,0.8283406756521478,-0.019250376696738257,-0.04792106187296332,-0.13307565106266706,0.9096012759170653,0.8934830082198504,0.8549282296650718,0.7701705312231628,-0.016118267697215093,-0.05467304625199363,-0.13943074469390263
