dataset,fold,p,k,feature_ratio,feature_pct,baseline_train_auc,baseline_train_accuracy,baseline_auc,baseline_accuracy,stg_train_auc,stg_train_accuracy,stg_auc,stg_accuracy,lspin_train_auc,lspin_train_accuracy,lspin_auc,lspin_accuracy,stg_auc_delta,lspin_auc_delta,stg_accuracy_delta,lspin_accuracy_delta
madelon,2,500,100,0.2,20,1,1,0.7416124260355029,0.6673076923076923,1,1,0.8087056213017753,0.7269230769230769,1,1,0.7136686390532544,0.6384615384615384,0.067093195,-0.027943787,0.059615384615384626,-0.028846154
madelon,3,500,100,0.2,20,1,1,0.7916568047337278,0.7173076923076923,1,1,0.8719082840236687,0.7730769230769231,1,1,0.7727366863905325,0.6942307692307692,0.080251479,-0.018920118,0.055769231,-0.023076923
madelon,4,500,100,0.2,20,1,1,0.788017751,0.7288461538461538,1,1,0.8905473372781064,0.7903846153846154,1,1,0.7411538461538462,0.675,0.10252958579881644,-0.046863905,0.061538462,-0.053846154
madelon,5,500,100,0.2,20,1,1,0.7575221893491124,0.6942307692307692,1,1,0.812189349,0.7057692307692308,1,1,0.6834097633136094,0.6442307692307693,0.05466716,-0.074112426,0.011538461538461608,-0.05
madelon,1,500,50,0.1,10,1,1,0.7570118343195266,0.6884615384615385,1,1,0.8618786982248521,0.7903846153846154,1,1,0.7378328402366864,0.6730769230769231,0.10486686390532551,-0.019178994,0.1019230769230769,-0.015384615
madelon,2,500,50,0.1,10,1,1,0.7416124260355029,0.6673076923076923,1,1,0.852026627,0.7653846153846153,1,1,0.5899186390532544,0.573076923,0.11041420118343204,-0.151693787,0.098076923,-0.094230769
madelon,3,500,50,0.1,10,1,1,0.7916568047337278,0.7173076923076923,1,1,0.9101701183431954,0.8423076923076923,1,1,0.6771079881656805,0.6403846153846153,0.1185133136094676,-0.114548817,0.125,-0.076923077
madelon,4,500,50,0.1,10,1,1,0.788017751,0.7288461538461538,1,1,0.9231286982248521,0.8346153846153846,1,1,0.7362721893491123,0.6653846153846154,0.13511094674556212,-0.051745562,0.10576923076923084,-0.063461538
madelon,5,500,50,0.1,10,1,1,0.7575221893491124,0.6942307692307692,1,1,0.8936686390532543,0.8115384615384615,1,1,0.6550665680473373,0.6288461538461538,0.13614644970414191,-0.102455621,0.11730769230769234,-0.065384615
madelon,1,500,25,0.05,5,1,1,0.7570118343195266,0.6884615384615385,1,1,0.9166715976331362,0.8480769230769231,1,1,0.6120710059171598,0.575,0.15965976331360965,-0.144940828,0.1596153846153846,-0.113461538
madelon,2,500,25,0.05,5,1,1,0.7416124260355029,0.6673076923076923,1,1,0.8572411242603549,0.7653846153846153,1,1,0.49586538461538465,0.49423076923076925,0.115628698,-0.245747041,0.098076923,-0.173076923
madelon,3,500,25,0.05,5,1,1,0.7916568047337278,0.7173076923076923,1,1,0.943897929,0.875,1,1,0.7265532544378698,0.6576923076923077,0.1522411242603552,-0.06510355,0.1576923076923077,-0.059615385
madelon,4,500,25,0.05,5,1,1,0.788017751,0.7288461538461538,1,1,0.9205621301775148,0.8326923076923077,1,1,0.6868343195266272,0.6480769230769231,0.13254437869822477,-0.101183432,0.10384615384615392,-0.080769231
madelon,5,500,25,0.05,5,1,1,0.7575221893491124,0.6942307692307692,1,1,0.9066863905325444,0.8423076923076923,1,1,0.6041789940828403,0.5788461538461539,0.149164201,-0.153343195,0.1480769230769231,-0.115384615
SMK-CAN-187,1,19993,19993,1,100,1,1,0.8680555555555556,0.7631578947368421,1,1,0.8680555555555556,0.7631578947368421,1,1,0.8680555555555556,0.7631578947368421,0,0,0,0
SMK-CAN-187,2,19993,19993,1,100,1,1,0.7736111111111111,0.7368421052631579,1,1,0.7736111111111111,0.7368421052631579,1,1,0.7736111111111111,0.7368421052631579,0,0,0,0
SMK-CAN-187,3,19993,19993,1,100,1,1,0.7090643274853802,0.7027027027027027,1,1,0.7090643274853802,0.7027027027027027,1,1,0.7090643274853802,0.7027027027027027,0,0,0,0
SMK-CAN-187,4,19993,19993,1,100,1,1,0.7631578947368421,0.6756756756756757,1,1,0.7631578947368421,0.6756756756756757,1,1,0.7631578947368421,0.6756756756756757,0,0,0,0
SMK-CAN-187,5,19993,19993,1,100,1,1,0.6242690058479532,0.5405405405405406,1,1,0.6242690058479532,0.5405405405405406,1,1,0.6242690058479532,0.5405405405405406,0,0,0,0
SMK-CAN-187,1,19993,17994,0.9,90,1,1,0.8680555555555556,0.7631578947368421,1,1,0.8694444444444444,0.7894736842105263,1,1,0.8638888888888889,0.7368421052631579,0.001388889,-0.004166667,0.026315789,-0.026315789
SMK-CAN-187,2,19993,17994,0.9,90,1,1,0.7736111111111111,0.7368421052631579,1,1,0.7763888888888889,0.7368421052631579,1,1,0.776388889,0.7631578947368421,0.002777778,0.002777778,0,0.026315789473684292
SMK-CAN-187,3,19993,17994,0.9,90,1,1,0.7090643274853802,0.7027027027027027,1,1,0.6900584795321638,0.6756756756756757,1,1,0.7119883040935672,0.7027027027027027,-0.019005848,0.002923977,-0.027027027,0
SMK-CAN-187,4,19993,17994,0.9,90,1,1,0.7631578947368421,0.6756756756756757,1,1,0.7850877192982456,0.7027027027027027,1,1,0.7573099415204678,0.6756756756756757,0.021929824561403466,-0.005847953,0.027027027027027084,0
SMK-CAN-187,5,19993,17994,0.9,90,1,1,0.6242690058479532,0.5405405405405406,1,1,0.6505847953216375,0.5405405405405406,1,1,0.6257309941520468,0.5135135135135135,0.026315789473684292,0.001461988,0,-0.027027027
SMK-CAN-187,1,19993,15994,0.8,80,1,1,0.8680555555555556,0.7631578947368421,1,1,0.8652777777777777,0.8157894736842105,1,1,0.8777777777777778,0.7894736842105263,-0.002777778,0.009722222,0.052631579,0.026315789
